Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Paytm,https://www.crunchbase.com/organization/paytm,6,,"Noida, Uttar Pradesh, India",,"Recharge on the go for your mobile, DTH, data cards, utility bills, bus tickets and now also mobile shopping is here.",https://paytm.com/,http://twitter.com/paytm,http://www.facebook.com/Paytm,http://www.linkedin.com/company/paytm-mobile-solutions-pvt-ltd-,5,5,,,,7,1.7,5.5,5.6
Telia Company AB,https://www.crunchbase.com/organization/teliasonera,6,2,"Stockholm, Stockholms Lan, Sweden",,Bringing the world closer - on the customer’s terms TeliaSonera provides network access and telecommunication services that help people an,http://www.teliasonera.com/,https://twitter.com/TeliaSoneraAB,,,6,4,,,,"2,259",-0.3,2.2,5.4
GSO Capital Partners,https://www.crunchbase.com/organization/gso-capital-partners,6,2,"New York, New York, United States",Hedge Fund,"GSO Capital Partners is a privately owned hedge fund sponsor. The firm primarily provides its services to pooled investment vehicles,",http://www.gsocap.com,http://twitter.com/blackstone,http://www.facebook.com/blackstone,https://www.linkedin.com/company/gso-capital-partners,5,1,,,,"2,296",-0.5,-1.3,-1.3
James Altucher,https://www.crunchbase.com/person/james-altucher,6,3,"New York, New York, United States",Angel,"James Altucher is the founder and chief executive officer of Reset. He is also the author of 13 books including several WSJ bestsellers such as Choose Yourself, The Power of No, and Guide to Wealth. Altucher runs hedge and venture capital funds, and has angel investments in over 30 companies. He also runs two podcasts, The James Altucher Show and Ask Altucher. Altucher is a LinkedIn influencer and often writes for TechCrunch, Yahoo! Finance, the Wall Street Journal, and many other print and online sites. Born on January 22, 1968, Altucher currently lives in New York, United States.",,http://twitter.com/jaltucher,http://www.facebook.com/james.altucher,http://www.linkedin.com/pub/james-altucher/1/b66/483,5,,,,,"2,316",0.6,1.1,4.2
Cradle Fund Sdn Bhd,https://www.crunchbase.com/organization/cradle-fund,6,1,"Kuala Lumpur, Kuala Lumpur, Malaysia",,"Cradle Fund Sdn Bhd encourages entrepreneurship in ICT, bio-technology and life sciences, material sciences, and technology industries.",http://www.cradle.com.my/,http://twitter.com/cradlefundsb,http://www.facebook.com/pages/Cradle-Fund-Sdn-Bhd-in-charge-of-the-Cradle-Investment-Program/109939115696551,https://www.linkedin.com/company/cradle-fund-sdn-bhd,6,,,,,"2,981",-0.1,-0.6,2.1
Len Blavatnik,https://www.crunchbase.com/person/len-blavatnik,6,,,Angel,"Len Blavatnik is an American businessman, currently living in New York and London, including at a home on Kensington Palace Gardens. Born in the Soviet Union, he attended University in Moscow. He emigrated with his family from Russia to the U.S. in 1978, and became an American citizen in 1984.  He received a master's in computer science from Columbia University and an MBA degree from Harvard Business School in 1989. In the West, he is known as Len Blavatnik. In 1986 he founded Access Industries, a New York-based international industrial group, of which he is Chairman and President. Access has long-term strategic holdings in Europe, North and South America. Initially, he moved into Russian investments, just after the fall of communism. With a friend from University, Viktor Vekselberg, he formed the Renova investment vehicle, and the two joined with Mikhail Fridman's Alfa Group to form the AAR venture. Access has diversified its portfolio to include investments in industries such a",,,,,5,,,,,"3,601",-0.6,-1.3,-1.2
The E.W. Scripps Company,https://www.crunchbase.com/organization/e-w-scripps,6,1,"Cincinnati, Ohio, United States",,"Serves audiences and businesses through a growing portfolio of television, radio and digital media brands.",http://www.scripps.com,http://twitter.com/EWScrippsCo,https://www.facebook.com/ewscrippsco,http://www.linkedin.com/company/167254,5,2,,,,"4,005",0.2,0.8,2.6
InverSur Capital,https://www.crunchbase.com/organization/inversur-capital,6,,"Santiago, Region Metropolitana, Chile",Micro VC,"InverSur Capital, a Santiago-based investment firm, caters to early- and growth-stage companies in Chile.",http://www.inversurcapital.com,http://twitter.com/InverSurCapital,,http://www.linkedin.com/company/inversur-capital,5,3,,,,"6,156",-0.1,0.3,2.1
Rebate Networks,https://www.crunchbase.com/organization/rebate-networks,6,1,"Berlin, Berlin, Germany",Venture Capital,Rebate Networks GmbH is one of the leading operators and investors of local e-commerce platforms with unbeatable online deals.,http://www.rebatenetworks.com,http://twitter.com/RebateNetworks,,,6,1,,,,"9,166",-0.3,-0.5,1.0
Accel X,https://www.crunchbase.com/organization/accel-x,6,,,,"Accel-X Pte Ltd, is a venture capital fund that invests in early stage technology companies that are highly scalable.",,,,,5,,,,,"9,505",0.7,1.6,2.4
TBP Capital,https://www.crunchbase.com/organization/tbp-capital,6,1,"Purchase, New York, United States",,TBP Capital is a hedge fund that invests in the energy and energy dependent industries.,http://www.tbpadvisors.com/,,,,5,3,,,,"12,134",0.0,-0.2,-0.2
Itzhak Fisher,https://www.crunchbase.com/person/itzhak-fisher,6,1,"New York, New York, United States",Angel,"Itzhak Fisher serves as Executive Vice President, Global Business Development for Nielsen.  Appointed to this role in January 2011, Itzhak holds responsibility for strategic business development initiatives and mergers and acquisitions to benefit clients and their priorities. A prominent entrepreneur in high-technology businesses for three decades, Itzhak has led ventures through mergers, acquisitions and initial public offerings. Previously, he was co-founder and chairman of Trendum, a leader in Internet search and linguistic analysis technologies, which was subsequently acquired by The Nielsen Company. In 2005, he led Trendum’s acquisition of BuzzMetrics, a market leader in online word-of-mouth research, and negotiated its 2006 acquisition of Intelliseek. Itzhak served as chairman of the combined entity, Nielsen BuzzMetrics. Previously, Itzhak founded and served as President and CEO of RSL Communications (NASDAQ: RSLC), a telecommunications firm which operated in 22 countries o",,,,http://www.linkedin.com/pub/itzhak-fisher/33/846/954,5,,,,,"12,277",-0.4,-0.9,-1.1
BlueSky Capital,https://www.crunchbase.com/organization/bluesky-capital,6,,"Toronto, Ontario, Canada",Micro VC,"BlueSky Capital is an Ontario-based investment firm focused on software, financial services, biomedical, and energy opportunities.",http://www.blueskycapital.ca,,,,5,2,,,,"13,919",-0.4,-0.5,-1.1
Dario Suter,https://www.crunchbase.com/person/dario-suter,6,1,,Angel,,,,,,6,,,,,"19,879",-0.3,0.0,-0.6
Hart Ventures,https://www.crunchbase.com/organization/hart-ventures,6,,"Boise, Idaho, United States",Venture Capital,"Hart Ventures invents, builds, markets, and sells sustainable, automated, service-based online businesses.",http://hartventures.net,http://twitter.com/hartventures,,,6,,,,,"24,254",1.3,0.6,0.0
Jacob Bratting Pedersen,https://www.crunchbase.com/person/jacob-bratting-pedersen,6,1,"Copenhagen, Hovedstaden, Denmark",Angel,"Jacob has worked in the venture capital industry for eleven years, and has been on the operational start-up side for many years, as COO for security company Secunia, and as co-founder of a number of tech start-ups. Jacob works hands-on with Northcap portfolio companies, and is on the Board of a number of the VC's investments. Jacob holds a M.Sc. BA and Commercial Law from Copenhagen Business School and additional financial and entrepreneurial education from Harvard Business School, INSEAD and MIT. Specialties: Development and internationalization of technology companies. Investments in private companies, M&A, deal structuring, deal negotiation and board work.",,,,http://dk.linkedin.com/in/jacobbratting,5,2,,,,"27,609",-0.4,-0.1,-0.1
FountainVest Partners,https://www.crunchbase.com/organization/fountainvest-partners,5,,"Central, Hong Kong Island, Hong Kong",Private Equity Firm,FountainVest is a private equity funds dedicated to completely China. They seek to invest in industry leaders and emerging leaders with a,http://www.fountainvest.com,,,,5,3,,,,"3,801",-0.3,-1.1,-0.8
Chad Byers,https://www.crunchbase.com/person/chad-byers,5,1,"San Francisco, California, United States",Angel,"Chad Byers is an entrepreneur and investor. He is based out of New York City.  Chad is currently a General Partner at Susa Ventures, a new seed stage technology fund. He is a private angel investor in Tradesy, True&Co., Momentum Machines, Locality, LearnUp, and Womply.  He was named to the 2015 Forbes 30 Under 30 Class for his work in Venture Capital. Chad previously spent time as Sr. Director of Platform at Integrate.com and in various marketing roles at Silver Spring Networks, Bloom Energy, and Electronic Arts.",,http://twitter.com/chadbyers,,http://www.linkedin.com/in/chadabyers,5,,,,,"6,154",0.0,-0.1,-1.9
Karen Hanton,https://www.crunchbase.com/person/karen-hanton,5,,"London, England, United Kingdom",Angel,"Karen Hanton MBE, was the founder and Chairman of Toptable, a restaurant booking company. In 2010, Toptable was sold to OpenTable for $55m. Karen has also founded the IT staffing firm Mortimer Spinks. After selling Mortimer Spinks, she bought and staffed a restaurant business in Fulham, which in 1998 inspired her to found Toptable. Karen was appointed Member of the Order of the British Empire (MBE) in the 2010 Birthday Honours.",,,,https://www.linkedin.com/pub/karen-hanton/0/210/54a,5,1,,,,"11,415",0.1,0.9,0.6
CIO Angel Network,https://www.crunchbase.com/organization/cio-angel-network,5,,"Mumbai, Maharashtra, India",Venture Capital,CIO Angel Network supports seed stage startups by providing fundraising support and customer discovery.,http://www.cioangelnetwork.com,https://www.twitter.com/cioangelnetwork,https://www.facebook.com/cioangelnetwork,,4,1,,,,"11,815",0.8,0.5,-0.4
Jillian Manus,https://www.crunchbase.com/person/jillian-manus,5,,"San Francisco, California, United States",Angel,"Jillian is president of Manus Media & Literary Agency and Broad Strategies, Inc. Jillian brings to her work extensive knowledge of the marketplace acquired in the course of a distinguished and multi-faceted career: a television agent at International Creative Management, Director of Development at Warner Brothers and Universal Studios, Vice President of Media Acquisitions at Trender AG/Credit Suisse, and an Associate Publisher of two national magazines covering entertainment and technology. As an active philanthropist, Jillian is very involved in the development efforts of numerous literacy, education, healthcare and environmental programs globally, with a particular focus on the empowerment and protection of women and children.",,,http://www.facebook.com/jillian.manus,https://www.linkedin.com/in/jillian-manus-19112a13,4,1,,,,"13,676",1.0,0.1,-0.9
Matthew Pritzker Company,https://www.crunchbase.com/organization/matthew-pritzker-company,5,1,"Chicago, Illinois, United States",Venture Capital,"Matthew Pritzker Company is a Chicago-based private equity firm offering recapitalization, acquisition, and growth financing services.",http://www.matthewpritzkercompany.com,,,,4,2,,,,"15,655",0.3,1.2,2.4
Tim Lee,https://www.crunchbase.com/person/tim-lee-4,5,1,,Angel,"Tim Lee is a venture capitalist at Sequoia Capital. Tim works with mobile, cloud and software  companies.  Previously, Tim worked at Google where he managed European marketing and product launch strategy. While at Google, he also conceived the YouTube Symphony Orchestra. Prior to Google, Tim worked at McKinsey & Company in London and at microprocessor IP company, ARM, in Cambridge UK. Tim has a Masters in Electrical and Information Engineering from Cambridge University, and an MBA from Stanford University's Graduate School of Business. (Source: Sequoia Capital)",,,,http://www.linkedin.com/in/timothytclee,2,2,,,,"17,960",-0.2,-0.6,-1.3
Estag Capital,https://www.crunchbase.com/organization/estag-capital,5,2,"Berlin, Berlin, Germany",Venture Capital,"Estag Capital funds renewable energy, cleantech, and gaming companies, and is a private investment company based in Berlin, Germany.",http://www.estag.de,,,http://www.linkedin.com/company/596954,5,1,,,,"18,422",0.9,1.0,-0.1
Massimiliano Magrini,https://www.crunchbase.com/person/massimiliano-magrini,5,1,"Milan, Lombardia, Italy",Angel,"Massimiliano is co-founder and Managing Partner United Ventures . Previously at  Altavista and founding Country manager of Google Italy. Founder of Annapurna Ventures, a new generation Technology Angel Fund. and  As Consultant  appointed by  the Ministry of Economic Development, He has actively contributed to the drawing up of the report on venture capitalism in Italy, which then led to the DL Growth . He is currently  Vice President of the Touring Club Italiano, Board Member of the American Chamber of Commerce and sits on the board of directors of AppsBuilder, Paperlit, 20 Lines and Cloud4WI.",,http://twitter.com/massimag,,http://it.linkedin.com/in/massimilianomagrini,3,3,,,,"19,292",-0.4,-0.6,-0.6
MVP Capital (MVPC),https://www.crunchbase.com/organization/mvp-capital-mvpc,5,1,"Seoul, Seoul-t'ukpyolsi, South Korea",Private Equity Firm,"MVP Capital is a venture capital and private equity firm specializing in investments in merger and acquisition deals, buyout, early and",http://www.mvpc.co.kr,,,,5,,,,,"25,212",0.3,0.8,-0.1
Bonial International Group,https://www.crunchbase.com/organization/bonial-international-group,4,,"Berlin, Berlin, Germany",,Bonial International Group offers professional solutions for high street retail in the area of location-based services.,http://www.bonial.com,,http://www.facebook.com/BonialInternationalGroup,http://www.linkedin.com/company/3130737,2,,,,,926,0.3,0.6,2.0
Cyriac Roeding,https://www.crunchbase.com/person/cyriac-roeding,4,1,"Portola Valley, California, United States",Angel,"Cyriac Roeding is a Silicon  Valley-based entrepreneur (co-founder, former CEO of shopkick, acquired for $250M in cash) who invests in and works with consumer-focused startups and venture capitalists that drive change in the world at scale. Focus areas: consumer network effects, mobile, human-machine interfaces and AR, robotics, software meeting biology. Limited Partner in Founders Fund, Andreesen Horowitz, KPCB, IVP, ZhenFund (China), SV Angel, SVB. Direct investor and advisor in over a dozen startups, including Karma Science (acquired by Facebook), Cardspring (acquired by Twitter), Grofers, Curbside, Zumper, Brilliant. The World Economic Forum named Roeding a Tech Pioneer 2013. Previously, Cyriac co-founded and led shopkick, the shopping app that rewards users just for walking into retail stores, as CEO to over 20 million users and its $250M acquisition by SK Telecom/SK Planet (Fortune 100 from South Korea).  Fast Company ranked it one of the world's 10 Most Innovative Companies I",,http://twitter.com/cyriac1,http://www.facebook.com/cyriacroeding,http://www.linkedin.com/in/cyriacroeding,4,1,,,,"5,514",0.2,-0.1,-0.9
Daum Communications,https://www.crunchbase.com/organization/daum-communications,4,,"South Korea, Asia",,Daum Communications offers a web portal in South Korea that provides internet services to web users.{ sorabang9.com },http://sorabang9.com,http://twitter.com/daummobile,http://www.facebook.com/daummobile,,4,1,,,,"6,202",-0.1,0.0,-1.2
SRI Capital,https://www.crunchbase.com/organization/sri-capital,4,,"Hyderabad, Andhra Pradesh, India",Venture Debt,"Seed stage venture fund, operating in the US and India",http://www.sricapital.com,,,,4,4,,,,"8,016",0.2,0.3,-0.5
Tom Jermoluk,https://www.crunchbase.com/person/tom-jermoluk,4,1,,Angel,"Thomas Jermoluk, also known as Tom served as General Partner of Kleiner, Perkins, Caufield & Byers. He joined At Home Corporation (Alternative Names are @Home Network and Excite@Home, Inc.) as Chief Executive Officer in 1996 and drove the @Home Network's rapid growth adding 19 new cable partners to its initial roster of partners, Tele-Communications, Inc., Comcast Corporation, and Cox Communications, creating the largest broadband footprint representing more than 87 million cable homes worldwide. He led the merger of @Home Network and Excite, Inc. in January 1999. Prior to @Home Network, from 1986 to 1996, he was employed by Silicon Graphics, Inc., a manufacturer of high performance visual computing systems, as President and as Chief Operating Officer from 1992 to 1996. Jermoluk's other positions at Silicon Graphics included Executive Vice President from 1991 to 1992 and Vice President/General Manager, Advanced Systems Division, from 1988 to 1991. He personally designed and led t",,,,,3,1,,,,"13,617",0.0,-0.5,-1.1
"Rick Holton, Jr.",https://www.crunchbase.com/person/rick-holton-jr,4,,"St Louis, Missouri, United States",Angel,"Rick is a co-founder and General Partner at Cultivation Capital. Rick serves on the boards of Anchor Packaging, Arch Design, Arvegenix, DealCloud, aisle411, WealthAccess, Academy of Science, the Olin Alumni Board, and the Great Rivers Habitat Alliance. He is also an active member of the St. Louis chapter of the Entrepreneurs Organization and the STL Arch Angels. Rick also co-founded Classic Car Studio which sells and restores classic cars for customers coast to coast. Rick has a double major in Engineering and Economics from Vanderbilt University School of Engineering and a Master’s Degree in Business Administration from the Olin School of Business at Washington University in St. Louis",,http://twitter.com/holtonrc,,http://www.linkedin.com/profile/view?id=6525419,4,2,,,,"14,235",-0.3,4.1,4.5
Rani Aliahmad,https://www.crunchbase.com/person/rani-aliahmad,4,,"Los Angeles, California, United States",Angel,,,,,,4,,,,,"14,772",1.2,1.2,2.3
Christian Gaiser,https://www.crunchbase.com/person/christian-gaiser,4,,,Angel,"Christian Gaiser is CEO of Bonial International Group, the global alliance of companies in the United States, Germany, France, Spain, Russia and Brazil providing location-based “research online and purchase offline” services to retailers, manufacturers and consumers. Having spent time in Silicon Valley in 2008, Christian developed the concept for Bonial due to the entrepreneurial environment he was living in and the amount of flyers and mailers he was accumulating. He thought at that time that there must be a new and different way to reach the consumer that takes the time-honored circular into consideration. The concept was born.  In 2008, Christian Gaiser and his team founded kaufDA in Germany, which was quickly honored in 2010 as “the star among location-based services in Germany” by W&V, Germany’s main magazine for communication and promotion. kaufDA has become Germany’s leading network for local retail promotions, initially financed by the venture capital divisions of Deutsch",,,,http://de.linkedin.com/pub/christian-gaiser/3/b/918,4,,,,,"14,861",-0.3,-0.2,0.3
Jack Furst,https://www.crunchbase.com/person/jack-furst,4,,,Angel,"Jack D. Furst, Founder, Oak Stream Investors, is a distinguished private equity investor. Oak Stream Investors makes investments in real estate, oil and gas, fixed income securities and public and private equities. Jack is an Adjunct Professor at The University of North Texas where he teaches finance and investments. He has over 25 years of private investment experience completing over $50 billion in transactions which resulted in attractive returns for investors. Jack was a founding Partner in HM Capital Partners (formally Hicks, Muse, Tate & Furst Incorporated). The Firm, established in 1989, specialized in private investments of companies primarily serving the energy, financial services, food, manufacturing and media sectors of the economy.",,,,,4,1,,,,"21,963",0.6,0.8,-0.2
Bincot,https://www.crunchbase.com/organization/bincot,4,,,Venture Capital,Bincot was added in 2012.,,,,,3,1,,,,"23,572",-0.3,0.9,0.8
Marc Penkala,https://www.crunchbase.com/person/marc-penkala,4,,"Zürich, Zurich, Switzerland",Angel,"Marc Penkala joined Mountain Partners in 2013. He is responsible for the international deal-flow as well as the execution and the global roll-out management. Prior to his time with Mountain Partners, Marc gained more than five years of entrepreneurial experience by founding two companies. Previously, Marc worked as the assistant to the executive board of Bilfinger Berger AG and assistant to the CEO of Rollbo Transport GmbH. Marc studied business administration at Freie Universität Berlin, University of New South Wales Sydney, LSE PKU Beijing and CBL Business School Dubai with a focus on international taxation, strategic management and entrepreneurship.",,,,https://www.linkedin.com/in/marc-penkala-89697940,2,,,,,"30,834",-0.4,-0.3,-0.5
Joachim M. Guentert,https://www.crunchbase.com/person/joachim-m-guentert,4,,"Bern, Bern, Switzerland",Angel,"Former eBay evangelist and eBay's Head of Corporate Communications in Germany, Austria and Switzerland, Entrepreneur, Investor, Tech and Mac Enthusiast, Networker with a passion for leveraging – and SVP, Global Corporate Communications at Bonial International Group with kaufDA – ""The Star among Location-based Services in Germany"" (W&V) or ""The Savior of Retail"" (HORIZONT). The Bonial International Group is the global alliance of companies in the United States, Germany, France, Spain, Russia and Brazil providing location-based “research online and purchase offline” services to retailers, manufacturers and consumers.",,http://twitter.com/jmg_on_air,,http://www.linkedin.com/in/guentert,2,,,,,"37,213",-0.3,-0.5,0.6
John Hering,https://www.crunchbase.com/person/john-hering,3,3,"San Francisco, California, United States",Angel,"John is Executive Chairman and Founder of Lookout, responsible for driving the company's long term vision and success together with Jim and the rest of the executive team. He is an entrepreneur with a vision of creating a more secure world in the post-PC era and has grown Lookout's footprint to tens of millions of users globally across consumer, enterprise, and government sectors. Top publications have recognized John as an industry leader and innovator. BusinessWeek named John a Best Young Tech Entrepreneur, Fortune named him a Smartest Person in Tech, the editors of MIT Tech Review dubbed John a 35 Under 35 entrepreneur and Fortune Magazine included John on its list of 40 Under 40 entrepreneurs. John is a frequent presenter at mobile and technology industry events including: RSA, Mobile World Congress, Black Hat Technical Security Conference, DEFCON, and Fortune Brainstorm. Additionally, John is an investor in dozens of technology startups focused on the areas of cybersecurity, artif",,http://twitter.com/johnhering,http://www.facebook.com/johnhering,http://www.linkedin.com/in/johnhering,3,,,,,"5,707",-0.2,-0.1,-0.5
Babson Capital Management,https://www.crunchbase.com/organization/babson-capital-management,3,1,"New York, New York, United States",Venture Capital,Babson Capital is a global investment management organization that manages over $182 billion.,http://www.babsoncapital.com,https://twitter.com/babsoncapital,,https://www.linkedin.com/company/babson-capital-management,3,,,,,"6,784",0.0,-0.3,-1.9
Columbia Lake Partners,https://www.crunchbase.com/organization/columbia-lake-partners,3,,"London, England, United Kingdom",,Columbia Lake Partners is an experienced team of investors providing growth loans to European technology companies.,http://www.clpgrowth.com/,https://twitter.com/CLPGrowth,,https://www.linkedin.com/company/columbia-lake-partners,3,,,,,"7,002",-0.1,0.6,3.9
Jodi Sherman Jahic,https://www.crunchbase.com/person/jodi-sherman-jahic,3,1,,Angel,"Jodi is a wireless industry expert and a 13-year veteran of the venture capital industry. Her innovative work in lean startup development and market strategy has been profiled in case studies taught at leading business schools. Prior to co-founding Aligned Partners in 2011, Jodi was Managing Director of Sherman Capital Group (SCG), a fund headquartered in San Francisco focusing on capital-efficient venture investments. Before forming SCG, Jodi led the wireless sector at Voyager Capital and was named a Kauffman Fellow at Battery Ventures in 1999. Her venture investment experience includes board roles at companies such as Placecast, Airlink, Telit Communications, Purple Wave Auction, Tropos Networks, and many more. Previously, Jodi was on the early team of three startups in North America and Europe. She also worked in the technology industry group at Andersen Consulting (now Accenture), where she managed technology projects for clients such as Motorola Semiconductor Products (now Free",,http://twitter.com/jodij,,http://www.linkedin.com/in/jodijahic,2,,,,,"9,031",1.0,5.4,6.8
Samer Hamadeh,https://www.crunchbase.com/person/samer-hamadeh,3,1,,Angel,"Samer is an entrepreneur-in-residence at Lightspeed Venture Partners, which he joined in January 2010. Samer is currently founder & CEO of Zeel.com. Relaunched in December 2012, Zeel gives consumers the power to book same-day, in-home massage appointments via app or website in under a minute. Prior to that, Samer Hamadeh was co-founder and CEO of Vault.com, the most trusted name in career information, which was sold in October 2007 to Veronis Suhler Stevenson, a New York-based media-and-communications private-equity firm. Before co-founding Vault, Samer was an associate at the Los Angeles management consulting firm LEK Consulting, where he focused on corporate and business strategy. Prior to that, Samer co-founded and managed a customized-textbook printing company, worked at the Chevron Corporation, and co-authored The Internship Bible and America’s Top Internships (Random House/Princeton Review). Samer sits on the board of the non-profit PeaceWorks Foundation and is a board o",,http://twitter.com/samerham,http://www.facebook.com/GetZeel,http://www.linkedin.com/in/samershamadeh,3,1,,,,"9,798",0.2,0.2,-0.3
Dan Murray,https://www.crunchbase.com/person/daniel-murray,3,2,"Los Angeles, California, United States",Angel,"Dan Murray is the chief financial officer of Dollar Shave Club, a monthly membership service that delivers fresh, stainless steel razor blades, and other personal grooming products to customers. He is also a board member of SocialEdge. Previously, he served NBC Universal, Comcast Interactive Media, Academy123, Yahoo!, and Overture Services, holding leadership roles as vice president and senior vice president in finance, strategy, and operations. Murray also held job roles as chief financial officer at Machinima and Fandango. He obtained a bachelor’s degree in finance from Pennsylvania State University, Main Campus and an MBA in strategy, international, and finance from Kellogg School of Management.",,,,http://www.linkedin.com/in/danielvmurray,3,,,,,"9,956",0.3,0.0,-1.0
Thomas Tsao,https://www.crunchbase.com/person/thomas-tsao,3,1,"Shanghai, Shanghai, China",Angel,"Thomas Gai Tei Tsao has served as Tuniu's Director since 2008.  Tsao is a Co-founder of Gobi Ventures, Inc. He has over two decades of experience in venture capital, fund management, and investment banking in China and the United States.  Tsao is a Co-founder of Beijing Technology Development Fund.  Prior to founding Beijing Technology Development Fund, Tsao was Director of Investment Banking at Dresdner Kleinwort Benson (China), covering the technology, media and telecommunications sector, in 1998.  From 1996 to 1997, Tsao worked for Seapower Financial Services Group.  From 1992 to 1996, Tsao was an investment banker at Merrill Lynch in New York and Hong Kong.  Tsao received a B.A. degree in Economics from Harvard University in 1992.",,,,https://cn.linkedin.com/pub/thomas-tsao/90/756/941,2,1,,,,"11,064",0.0,0.9,1.1
Greg Arrese,https://www.crunchbase.com/person/greg-arrese,3,1,"New York, New York, United States",Angel,,,,,https://www.linkedin.com/in/greg-arrese-a98b114,3,,,,,"12,193",-0.2,0.0,0.0
David Hehman,https://www.crunchbase.com/person/david-hehman,3,1,"Sebastopol, California, United States",Angel,"David Hehman is an entrepreneur and angel investor. David has co-founded and sold 5 technology businesses: HealthDesk (HDSK), GetawayZone (VacationSpot/EXPE), MarketHome (CLAC), EscapeHomes (Roost), Pagewise.com (DemandMedia). David is a Board Member of DealBase, Ellinee, FlexJobs, Letters&Arts, Must Have Menus and Webvanta. David is a Co-founder of Spartina Ventures, LLC, an angel fund for Internet start-ups. Selected past investments: MongoMusic (MSFT), OpenTable, Trails.com (DemandMedia), TravelPost (SideStep/Kayak) and ZipRealty (ZIPR). Mr. Hehman received a Bachelor of Arts in Social Science from University of California at Berkeley in December 1992, and an MBA from the University of California at Berkeley, Haas School of Business in 1998.  In 2001, Mr. Hehman attended the PriceBabson@Berkeley symposium for Entrepreneurial Educators. Mr. Hehman was lecturer at UC Berkeley, Sonoma State, and the Haas School of Business, in their entrepreneur programs. David also o",,,,http://www.linkedin.com/profile/view?id=45093,3,,,,,"12,498",0.7,-0.3,-0.9
Tom Arrix,https://www.crunchbase.com/person/tom-arrix,3,,,Angel,"Mr. Arrix is the former Facebook Vice President of Global Marketing Solutions, US. At Facebook he was one of the first 20 employees and helped develop marketing relationships with brands like Walmart, American Express, JPMorgan Chase, & Coca-Cola to name a few.",,,,http://www.linkedin.com/pub/tom-arrix/71/a77/668,3,,,,,"12,903",-0.2,-0.5,-1.1
91Capital,https://www.crunchbase.com/organization/91capital,3,,"Taiwan, Jiangsu, China",,91Capital is a venture capital company that offers investment services.,,,,,3,,,,,"15,763",0.6,1.0,3.0
Bill Elkus,https://www.crunchbase.com/person/bill-elkus,3,1,,Angel,"Bill Elkus conceived the Clearstone Venture Partners concept in 1997 and has been a Managing Member of its General Partners since their inception. Bill was recognized as one of the top 50 to 100 Venture Capitalists in the United States by Forbes Magazine in its annual Midas List on three separate occasions. His current & past board memberships and observer roles include United Online (NASD: UNTD), Overture (acquired by Yahoo! in 2003), PayPal.com (acquired by eBay in 2002), the Chronicle Publishing Company (The San Francisco Chronicle and KRON television), Cooking.com and WeddingChannel.com (acquired by The Knot in 2006).",,,http://www.facebook.com/elkus,http://www.linkedin.com/pub/william-elkus/5/a78/57b,2,1,,,,"19,004",-0.5,-0.4,-0.8
Richard Chino,https://www.crunchbase.com/person/richard-chino,3,1,,Angel,"Richard spent 4 years as the Chief Revenue Officer at Smarter.com (part of MeziMedia which was acquired by ValueClick in July 2007) focusing on driving traffic to the site through search marketing. During this time he has overseen Smarter’s profitable revenue growth of over 3,000%, and in 2006, the site was named by ComScore to have the second largest exposure of search ad impressions in the US. Prior to Smarter.com, Richard spent 7 years with Yahoo Search Marketing (previously GoTo.com / Overture). At GoTo.com, Richard started as the first Product Manager and spent his last 5 years as VP of Business Operations, overseeing the business metrics and leading analyses to provide insight and recommendations to the executive team, ultimately producing more than $1 Billion in incremental revenues. Mr. Chino has both an MBA and a Masters of Engineering Management from Northwestern University and a BA in Economics and Accounting and Mathematics from Claremont McKenna College.",,,,http://www.linkedin.com/in/rchino,3,,,,,"19,086",-0.3,-0.8,-0.7
Ankush Nijhawan,https://www.crunchbase.com/person/ankush-nijhawan,3,,"New Delhi, Delhi, India",Angel,"Ankush Nijhawan - Managing Director, Nijhawan Group is a BBA graduate from Boston and he majored in Marketing and Psychology. Today Ankush is thriving with his strategic vision and direction to the Nijhawan Group to be a leader in the travel industry. His focus is on strengthening the overall brand proposition and positioning the group with its core business value by exploring new growth avenues for developing a market leadership. He was chosen by CNBC as a Young Turk for revolutionising the travel trade through his B2B travel portal. Ankush today by far is one of the most successful youngster in the travel trade.",,https://twitter.com/AnkushNijhawan,https://www.facebook.com/ankush.nijhawan,https://www.linkedin.com/in/ankush-nijhawan-7a3a286,3,,,,,"20,178",0.4,-0.4,-1.2
PADEInvest,https://www.crunchbase.com/organization/padeinvest,3,,"Madrid, Madrid, Spain",Venture Capital,PADEInvest is a venture capital firm that does seed and later stage investments.,http://padeinvest.com,,,,3,,,,,"28,651",-0.2,-0.3,-0.9
SmileGate Investment,https://www.crunchbase.com/organization/smile-gate-investment,3,,"Seongnam, Kyonggi-do, South Korea",Venture Capital,"A venture capital and private equity firm specializing in investments in merger and acquisition deals, buyout, early and mezzanine stages.",http://www.smilegateinvestment.com/,,,,3,,,,,"31,392",-0.4,-1.0,-1.6
Andena Holding,https://www.crunchbase.com/organization/andena-holding,3,,,Micro VC,Andena Holding is a micro venture capital fund specialized in seed investments.,,,,,3,,,,,"34,123",-0.4,-0.5,-1.3
